REGION,TECHNOLOGY,SEASON,YEAR,value
Atlantis,NUCLEAR,2,2026,0.0
Atlantis,NUCLEAR,2,2027,0.0
Atlantis,NUCLEAR,2,2028,0.0
Atlantis,NUCLEAR,2,2029,0.0
Atlantis,NUCLEAR,2,2030,0.0
Atlantis,NUCLEAR,2,2031,0.0
Atlantis,NUCLEAR,2,2032,0.0
Atlantis,NUCLEAR,2,2033,0.0
Atlantis,NUCLEAR,2,2034,0.0
Atlantis,NUCLEAR,2,2035,0.0
Atlantis,NUCLEAR,2,2036,0.0
Atlantis,NUCLEAR,2,2037,0.0
Atlantis,NUCLEAR,2,2038,0.0
Atlantis,NUCLEAR,2,2039,0.0
Atlantis,NUCLEAR,2,2040,0.0
Atlantis,NUCLEAR,3,2014,0.0
Atlantis,NUCLEAR,3,2015,0.0
Atlantis,NUCLEAR,3,2016,0.0
Atlantis,NUCLEAR,3,2017,0.0
Atlantis,NUCLEAR,3,2018,0.0
Atlantis,NUCLEAR,3,2019,0.0
Atlantis,NUCLEAR,3,2020,0.0
Atlantis,NUCLEAR,3,2021,0.0
Atlantis,NUCLEAR,3,2022,0.0
Atlantis,NUCLEAR,3,2023,0.0
Atlantis,NUCLEAR,3,2024,0.0
Atlantis,NUCLEAR,3,2025,0.0
Atlantis,NUCLEAR,3,2026,0.0
Atlantis,NUCLEAR,3,2027,0.0
Atlantis,NUCLEAR,3,2028,0.0
Atlantis,NUCLEAR,3,2029,0.0
Atlantis,NUCLEAR,3,2030,0.0
Atlantis,NUCLEAR,3,2031,0.0
Atlantis,NUCLEAR,3,2032,0.0
Atlantis,NUCLEAR,3,2033,0.0
Atlantis,NUCLEAR,3,2034,0.0
Atlantis,NUCLEAR,3,2035,0.0
Atlantis,NUCLEAR,3,2036,0.0
Atlantis,NUCLEAR,3,2037,0.0
Atlantis,NUCLEAR,3,2038,0.0
Atlantis,NUCLEAR,3,2039,0.0
Atlantis,NUCLEAR,3,2040,0.0
Atlantis,TRANS,1,2014,0.0
Atlantis,TRANS,1,2015,0.0
Atlantis,TRANS,1,2016,0.0
Atlantis,TRANS,1,2017,0.0
Atlantis,TRANS,1,2018,0.0
Atlantis,TRANS,1,2019,0.0
Atlantis,TRANS,1,2020,0.0
Atlantis,TRANS,1,2021,0.0
Atlantis,TRANS,1,2022,0.0
Atlantis,TRANS,1,2023,0.0
Atlantis,TRANS,1,2024,0.0
Atlantis,TRANS,1,2025,0.0
Atlantis,TRANS,1,2026,0.0
Atlantis,TRANS,1,2027,0.0
Atlantis,TRANS,1,2028,0.0
Atlantis,TRANS,1,2029,0.0
Atlantis,TRANS,1,2030,0.0
Atlantis,TRANS,1,2031,0.0
Atlantis,TRANS,1,2032,0.0
Atlantis,TRANS,1,2033,0.0
Atlantis,TRANS,1,2034,0.0
Atlantis,TRANS,1,2035,0.0
Atlantis,TRANS,1,2036,0.0
Atlantis,TRANS,1,2037,0.0
Atlantis,TRANS,1,2038,0.0
Atlantis,TRANS,1,2039,0.0
Atlantis,TRANS,1,2040,0.0
Atlantis,TRANS,2,2014,0.0
Atlantis,TRANS,2,2015,0.0
Atlantis,TRANS,2,2016,0.0
Atlantis,TRANS,2,2017,0.0
Atlantis,TRANS,2,2018,0.0
Atlantis,TRANS,2,2019,0.0
Atlantis,TRANS,2,2020,0.0
Atlantis,TRANS,2,2021,0.0
Atlantis,TRANS,2,2022,0.0
Atlantis,TRANS,2,2023,0.0
Atlantis,TRANS,2,2024,0.0
Atlantis,TRANS,2,2025,0.0
Atlantis,TRANS,2,2026,0.0
Atlantis,TRANS,2,2027,0.0
Atlantis,TRANS,2,2028,0.0
Atlantis,TRANS,2,2029,0.0
Atlantis,TRANS,2,2030,0.0
Atlantis,TRANS,2,2031,0.0
Atlantis,TRANS,2,2032,0.0
Atlantis,TRANS,2,2033,0.0
Atlantis,TRANS,2,2034,0.0
Atlantis,TRANS,2,2035,0.0
Atlantis,TRANS,2,2036,0.0
Atlantis,TRANS,2,2037,0.0
Atlantis,TRANS,2,2038,0.0
Atlantis,TRANS,2,2039,0.0
Atlantis,TRANS,2,2040,0.0
Atlantis,TRANS,3,2014,0.0
Atlantis,TRANS,3,2015,0.0
Atlantis,TRANS,3,2016,0.0
Atlantis,TRANS,3,2017,0.0
Atlantis,TRANS,3,2018,0.0
Atlantis,TRANS,3,2019,0.0
Atlantis,TRANS,3,2020,0.0
Atlantis,TRANS,3,2021,0.0
Atlantis,TRANS,3,2022,0.0
Atlantis,TRANS,3,2023,0.0
Atlantis,TRANS,3,2024,0.0
Atlantis,TRANS,3,2025,0.0
Atlantis,TRANS,3,2026,0.0
Atlantis,TRANS,3,2027,0.0
Atlantis,TRANS,3,2028,0.0
Atlantis,TRANS,3,2029,0.0
Atlantis,TRANS,3,2030,0.0
Atlantis,TRANS,3,2031,0.0
Atlantis,TRANS,3,2032,0.0
Atlantis,TRANS,3,2033,0.0
Atlantis,TRANS,3,2034,0.0
Atlantis,TRANS,3,2035,0.0
Atlantis,TRANS,3,2036,0.0
Atlantis,TRANS,3,2037,0.0
Atlantis,TRANS,3,2038,0.0
Atlantis,TRANS,3,2039,0.0
Atlantis,TRANS,3,2040,0.0
Atlantis,DIST_IND,1,2014,0.0
Atlantis,DIST_IND,1,2015,0.0
Atlantis,DIST_IND,1,2016,0.0
Atlantis,DIST_IND,1,2017,0.0
Atlantis,DIST_IND,1,2018,0.0
Atlantis,DIST_IND,1,2019,0.0
Atlantis,DIST_IND,1,2020,0.0
Atlantis,DIST_IND,1,2021,0.0
Atlantis,DIST_IND,1,2022,0.0
Atlantis,DIST_IND,1,2023,0.0
Atlantis,DIST_IND,1,2024,0.0
Atlantis,DIST_IND,1,2025,0.0
Atlantis,DIST_IND,1,2026,0.0
Atlantis,DIST_IND,1,2027,0.0
Atlantis,DIST_IND,1,2028,0.0
Atlantis,DIST_IND,1,2029,0.0
Atlantis,DIST_IND,1,2030,0.0
Atlantis,DIST_IND,1,2031,0.0
Atlantis,DIST_IND,1,2032,0.0
Atlantis,DIST_IND,1,2033,0.0
Atlantis,DIST_IND,1,2034,0.0
Atlantis,DIST_IND,1,2035,0.0
Atlantis,DIST_IND,1,2036,0.0
Atlantis,DIST_IND,1,2037,0.0
Atlantis,DIST_IND,1,2038,0.0
Atlantis,DIST_IND,1,2039,0.0
Atlantis,DIST_IND,1,2040,0.0
Atlantis,DIST_IND,2,2014,0.0
Atlantis,DIST_IND,2,2015,0.0
Atlantis,DIST_IND,2,2016,0.0
Atlantis,DIST_IND,2,2017,0.0
Atlantis,DIST_IND,2,2018,0.0
Atlantis,DIST_IND,2,2019,0.0
Atlantis,DIST_IND,2,2020,0.0
Atlantis,DIST_IND,2,2021,0.0
Atlantis,DIST_IND,2,2022,0.0
Atlantis,DIST_IND,2,2023,0.0
Atlantis,DIST_IND,2,2024,0.0
Atlantis,DIST_IND,2,2025,0.0
Atlantis,DIST_IND,2,2026,0.0
Atlantis,DIST_IND,2,2027,0.0
Atlantis,DIST_IND,2,2028,0.0
Atlantis,DIST_IND,2,2029,0.0
Atlantis,DIST_IND,2,2030,0.0
Atlantis,DIST_IND,2,2031,0.0
Atlantis,DIST_IND,2,2032,0.0
Atlantis,DIST_IND,2,2033,0.0
Atlantis,DIST_IND,2,2034,0.0
Atlantis,DIST_IND,2,2035,0.0
Atlantis,DIST_IND,2,2036,0.0
Atlantis,DIST_IND,2,2037,0.0
Atlantis,DIST_IND,2,2038,0.0
Atlantis,DIST_IND,2,2039,0.0
Atlantis,DIST_IND,2,2040,0.0
Atlantis,DIST_IND,3,2014,0.0
Atlantis,DIST_IND,3,2015,0.0
Atlantis,DIST_IND,3,2016,0.0
Atlantis,DIST_IND,3,2017,0.0
Atlantis,DIST_IND,3,2018,0.0
Atlantis,DIST_IND,3,2019,0.0
Atlantis,DIST_IND,3,2020,0.0
Atlantis,DIST_IND,3,2021,0.0
Atlantis,DIST_IND,3,2022,0.0
Atlantis,DIST_IND,3,2023,0.0
Atlantis,DIST_IND,3,2024,0.0
Atlantis,DIST_IND,3,2025,0.0
Atlantis,DIST_IND,3,2026,0.0
Atlantis,DIST_IND,3,2027,0.0
Atlantis,DIST_IND,3,2028,0.0
Atlantis,DIST_IND,3,2029,0.0
Atlantis,DIST_IND,3,2030,0.0
Atlantis,DIST_IND,3,2031,0.0
Atlantis,DIST_IND,3,2032,0.0
Atlantis,DIST_IND,3,2033,0.0
Atlantis,DIST_IND,3,2034,0.0
Atlantis,DIST_IND,3,2035,0.0
Atlantis,DIST_IND,3,2036,0.0
Atlantis,DIST_IND,3,2037,0.0
Atlantis,DIST_IND,3,2038,0.0
Atlantis,DIST_IND,3,2039,0.0
Atlantis,DIST_IND,3,2040,0.0
Atlantis,DIST_TRA,1,2014,0.0
Atlantis,DIST_TRA,1,2015,0.0
Atlantis,DIST_TRA,1,2016,0.0
Atlantis,DIST_TRA,1,2017,0.0
Atlantis,DIST_TRA,1,2018,0.0
Atlantis,DIST_TRA,1,2019,0.0
Atlantis,DIST_TRA,1,2020,0.0
Atlantis,DIST_TRA,1,2021,0.0
Atlantis,DIST_TRA,1,2022,0.0
Atlantis,DIST_TRA,1,2023,0.0
Atlantis,DIST_TRA,1,2024,0.0
Atlantis,DIST_TRA,1,2025,0.0
Atlantis,DIST_TRA,1,2026,0.0
Atlantis,DIST_TRA,1,2027,0.0
Atlantis,DIST_TRA,1,2028,0.0
Atlantis,DIST_TRA,1,2029,0.0
Atlantis,DIST_TRA,1,2030,0.0
Atlantis,DIST_TRA,1,2031,0.0
Atlantis,DIST_TRA,1,2032,0.0
Atlantis,DIST_TRA,1,2033,0.0
Atlantis,DIST_TRA,1,2034,0.0
Atlantis,DIST_TRA,1,2035,0.0
Atlantis,DIST_TRA,1,2036,0.0
Atlantis,DIST_TRA,1,2037,0.0
Atlantis,DIST_TRA,1,2038,0.0
Atlantis,DIST_TRA,1,2039,0.0
Atlantis,DIST_TRA,1,2040,0.0
Atlantis,DIST_TRA,2,2014,0.0
Atlantis,DIST_TRA,2,2015,0.0
Atlantis,DIST_TRA,2,2016,0.0
Atlantis,DIST_TRA,2,2017,0.0
Atlantis,DIST_TRA,2,2018,0.0
Atlantis,DIST_TRA,2,2019,0.0
Atlantis,DIST_TRA,2,2020,0.0
Atlantis,DIST_TRA,2,2021,0.0
Atlantis,DIST_TRA,2,2022,0.0
Atlantis,DIST_TRA,2,2023,0.0
Atlantis,DIST_TRA,2,2024,0.0
Atlantis,DIST_TRA,2,2025,0.0
Atlantis,DIST_TRA,2,2026,0.0
Atlantis,DIST_TRA,2,2027,0.0
Atlantis,DIST_TRA,2,2028,0.0
Atlantis,DIST_TRA,2,2029,0.0
Atlantis,DIST_TRA,2,2030,0.0
Atlantis,DIST_TRA,2,2031,0.0
Atlantis,DIST_TRA,2,2032,0.0
Atlantis,DIST_TRA,2,2033,0.0
Atlantis,DIST_TRA,2,2034,0.0
Atlantis,DIST_TRA,2,2035,0.0
Atlantis,DIST_TRA,2,2036,0.0
Atlantis,DIST_TRA,2,2037,0.0
Atlantis,DIST_TRA,2,2038,0.0
Atlantis,DIST_TRA,2,2039,0.0
Atlantis,DIST_TRA,2,2040,0.0
Atlantis,DIST_TRA,3,2014,0.0
Atlantis,DIST_TRA,3,2015,0.0
Atlantis,DIST_TRA,3,2016,0.0
Atlantis,DIST_TRA,3,2017,0.0
Atlantis,DIST_TRA,3,2018,0.0
Atlantis,DIST_TRA,3,2019,0.0
Atlantis,DIST_TRA,3,2020,0.0
Atlantis,DIST_TRA,3,2021,0.0
Atlantis,DIST_TRA,3,2022,0.0
Atlantis,DIST_TRA,3,2023,0.0
Atlantis,DIST_TRA,3,2024,0.0
Atlantis,DIST_TRA,3,2025,0.0
Atlantis,DIST_TRA,3,2026,0.0
Atlantis,DIST_TRA,3,2027,0.0
Atlantis,DIST_TRA,3,2028,0.0
Atlantis,DIST_TRA,3,2029,0.0
Atlantis,DIST_TRA,3,2030,0.0
Atlantis,DIST_TRA,3,2031,0.0
Atlantis,DIST_TRA,3,2032,0.0
Atlantis,DIST_TRA,3,2033,0.0
Atlantis,DIST_TRA,3,2034,0.0
Atlantis,DIST_TRA,3,2035,0.0
Atlantis,DIST_TRA,3,2036,0.0
Atlantis,DIST_TRA,3,2037,0.0
Atlantis,DIST_TRA,3,2038,0.0
Atlantis,DIST_TRA,3,2039,0.0
Atlantis,DIST_TRA,3,2040,0.0
Atlantis,DIST_RES,1,2014,0.0
Atlantis,DIST_RES,1,2015,0.0
Atlantis,DIST_RES,1,2016,0.0
Atlantis,DIST_RES,1,2017,0.0
Atlantis,DIST_RES,1,2018,0.0
Atlantis,DIST_RES,1,2019,0.0
Atlantis,DIST_RES,1,2020,0.0
Atlantis,DIST_RES,1,2021,0.0
Atlantis,DIST_RES,1,2022,0.0
Atlantis,DIST_RES,1,2023,0.0
Atlantis,DIST_RES,1,2024,0.0
Atlantis,DIST_RES,1,2025,0.0
Atlantis,DIST_RES,1,2026,0.0
Atlantis,DIST_RES,1,2027,0.0
Atlantis,DIST_RES,1,2028,0.0
Atlantis,DIST_RES,1,2029,0.0
Atlantis,DIST_RES,1,2030,0.0
Atlantis,DIST_RES,1,2031,0.0
Atlantis,DIST_RES,1,2032,0.0
Atlantis,DIST_RES,1,2033,0.0
Atlantis,DIST_RES,1,2034,0.0
Atlantis,DIST_RES,1,2035,0.0
Atlantis,DIST_RES,1,2036,0.0
Atlantis,DIST_RES,1,2037,0.0
Atlantis,DIST_RES,1,2038,0.0
Atlantis,DIST_RES,1,2039,0.0
Atlantis,DIST_RES,1,2040,0.0
Atlantis,DIST_RES,2,2014,0.0
Atlantis,DIST_RES,2,2015,0.0
Atlantis,DIST_RES,2,2016,0.0
Atlantis,DIST_RES,2,2017,0.0
Atlantis,DIST_RES,2,2018,0.0
Atlantis,DIST_RES,2,2019,0.0
Atlantis,DIST_RES,2,2020,0.0
Atlantis,DIST_RES,2,2021,0.0
Atlantis,DIST_RES,2,2022,0.0
Atlantis,DIST_RES,2,2023,0.0
Atlantis,DIST_RES,2,2024,0.0
Atlantis,DIST_RES,2,2025,0.0
Atlantis,DIST_RES,2,2026,0.0
Atlantis,DIST_RES,2,2027,0.0
Atlantis,DIST_RES,2,2028,0.0
Atlantis,DIST_RES,2,2029,0.0
Atlantis,DIST_RES,2,2030,0.0
Atlantis,DIST_RES,2,2031,0.0
Atlantis,DIST_RES,2,2032,0.0
Atlantis,DIST_RES,2,2033,0.0
Atlantis,DIST_RES,2,2034,0.0
Atlantis,DIST_RES,2,2035,0.0
Atlantis,DIST_RES,2,2036,0.0
Atlantis,DIST_RES,2,2037,0.0
Atlantis,DIST_RES,2,2038,0.0
Atlantis,DIST_RES,2,2039,0.0
Atlantis,DIST_RES,2,2040,0.0
Atlantis,DIST_RES,3,2014,0.0
Atlantis,DIST_RES,3,2015,0.0
Atlantis,DIST_RES,3,2016,0.0
Atlantis,DIST_RES,3,2017,0.0
Atlantis,DIST_RES,3,2018,0.0
Atlantis,DIST_RES,3,2019,0.0
Atlantis,DIST_RES,3,2020,0.0
Atlantis,DIST_RES,3,2021,0.0
Atlantis,DIST_RES,3,2022,0.0
Atlantis,DIST_RES,3,2023,0.0
Atlantis,DIST_RES,3,2024,0.0
Atlantis,DIST_RES,3,2025,0.0
Atlantis,DIST_RES,3,2026,0.0
Atlantis,DIST_RES,3,2027,0.0
Atlantis,DIST_RES,3,2028,0.0
Atlantis,DIST_RES,3,2029,0.0
Atlantis,DIST_RES,3,2030,0.0
Atlantis,DIST_RES,3,2031,0.0
Atlantis,DIST_RES,3,2032,0.0
Atlantis,DIST_RES,3,2033,0.0
Atlantis,DIST_RES,3,2034,0.0
Atlantis,DIST_RES,3,2035,0.0
Atlantis,DIST_RES,3,2036,0.0
Atlantis,DIST_RES,3,2037,0.0
Atlantis,DIST_RES,3,2038,0.0
Atlantis,DIST_RES,3,2039,0.0
Atlantis,DIST_RES,3,2040,0.0
Atlantis,DIST_SER,1,2014,0.0
Atlantis,DIST_SER,1,2015,0.0
Atlantis,DIST_SER,1,2016,0.0
Atlantis,DIST_SER,1,2017,0.0
Atlantis,DIST_SER,1,2018,0.0
Atlantis,DIST_SER,1,2019,0.0
Atlantis,DIST_SER,1,2020,0.0
Atlantis,DIST_SER,1,2021,0.0
Atlantis,DIST_SER,1,2022,0.0
Atlantis,DIST_SER,1,2023,0.0
Atlantis,DIST_SER,1,2024,0.0
Atlantis,DIST_SER,1,2025,0.0
Atlantis,DIST_SER,1,2026,0.0
Atlantis,DIST_SER,1,2027,0.0
Atlantis,DIST_SER,1,2028,0.0
Atlantis,DIST_SER,1,2029,0.0
Atlantis,DIST_SER,1,2030,0.0
Atlantis,DIST_SER,1,2031,0.0
Atlantis,DIST_SER,1,2032,0.0
Atlantis,DIST_SER,1,2033,0.0
Atlantis,DIST_SER,1,2034,0.0
Atlantis,DIST_SER,1,2035,0.0
Atlantis,DIST_SER,1,2036,0.0
Atlantis,DIST_SER,1,2037,0.0
Atlantis,DIST_SER,1,2038,0.0
Atlantis,DIST_SER,1,2039,0.0
Atlantis,DIST_SER,1,2040,0.0
Atlantis,DIST_SER,2,2014,0.0
Atlantis,DIST_SER,2,2015,0.0
Atlantis,DIST_SER,2,2016,0.0
Atlantis,DIST_SER,2,2017,0.0
Atlantis,DIST_SER,2,2018,0.0
Atlantis,DIST_SER,2,2019,0.0
Atlantis,DIST_SER,2,2020,0.0
Atlantis,DIST_SER,2,2021,0.0
Atlantis,DIST_SER,2,2022,0.0
Atlantis,DIST_SER,2,2023,0.0
Atlantis,DIST_SER,2,2024,0.0
Atlantis,DIST_SER,2,2025,0.0
Atlantis,DIST_SER,2,2026,0.0
Atlantis,DIST_SER,2,2027,0.0
Atlantis,DIST_SER,2,2028,0.0
Atlantis,DIST_SER,2,2029,0.0
Atlantis,DIST_SER,2,2030,0.0
Atlantis,DIST_SER,2,2031,0.0
Atlantis,DIST_SER,2,2032,0.0
Atlantis,DIST_SER,2,2033,0.0
Atlantis,DIST_SER,2,2034,0.0
Atlantis,DIST_SER,2,2035,0.0
Atlantis,DIST_SER,2,2036,0.0
Atlantis,DIST_SER,2,2037,0.0
Atlantis,DIST_SER,2,2038,0.0
Atlantis,DIST_SER,2,2039,0.0
Atlantis,DIST_SER,2,2040,0.0
Atlantis,DIST_SER,3,2014,0.0
Atlantis,DIST_SER,3,2015,0.0
Atlantis,DIST_SER,3,2016,0.0
Atlantis,DIST_SER,3,2017,0.0
Atlantis,DIST_SER,3,2018,0.0
Atlantis,DIST_SER,3,2019,0.0
Atlantis,DIST_SER,3,2020,0.0
Atlantis,DIST_SER,3,2021,0.0
Atlantis,DIST_SER,3,2022,0.0
Atlantis,DIST_SER,3,2023,0.0
Atlantis,DIST_SER,3,2024,0.0
Atlantis,DIST_SER,3,2025,0.0
Atlantis,DIST_SER,3,2026,0.0
Atlantis,DIST_SER,3,2027,0.0
Atlantis,DIST_SER,3,2028,0.0
Atlantis,DIST_SER,3,2029,0.0
Atlantis,DIST_SER,3,2030,0.0
Atlantis,DIST_SER,3,2031,0.0
Atlantis,DIST_SER,3,2032,0.0
Atlantis,DIST_SER,3,2033,0.0
Atlantis,DIST_SER,3,2034,0.0
Atlantis,DIST_SER,3,2035,0.0
Atlantis,DIST_SER,3,2036,0.0
Atlantis,DIST_SER,3,2037,0.0
Atlantis,DIST_SER,3,2038,0.0
Atlantis,DIST_SER,3,2039,0.0
Atlantis,DIST_SER,3,2040,0.0
